scrapeDatetime,url,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3,CAGR
"03/26/2022, 11:40:15",https://www.realtor.ca/real-estate/24186523/9-viridian-drive-dartmouth-dartmouth,750000,9 Viridian Drive,"Dartmouth, Nova Scotia B3A0B7",B3A0B7,MLS  Number: 202205145,2,4,4,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,2014,"Garage, Attached Garage",1 day,"Apr 15, 2014 Sold $444,433",2494,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B3A0,B3A,0.067595834
"03/26/2022, 11:44:11",https://www.realtor.ca/real-estate/24185595/4821-hwy-316-lower-south-river-highway-lower-south-river-lower-south-river,244900,4821 Hwy 316 Lower South River Highway,"Lower South River, Nova Scotia B2G2L4",B2G2L4,MLS  Number: 202205142,2,2,1,Single Family,House,1,Lower South River,Freehold,under 1/2 acre,1963,Gravel,1 day,"Nov 9, 2018 Sold $139,950",1536,,Poured Concrete,Detached,Character,,B2G2,B2G,0.150148641
"03/26/2022, 11:45:35",https://www.realtor.ca/real-estate/24185504/3-orion-avenue-new-glasgow-new-glasgow,89900,3 Orion Avenue,"New Glasgow, Nova Scotia B2H3K2",B2H3K2,MLS  Number: 202205136,2,2,1,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,1 day,,825,"Range - Electric, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space,B2H3,B2H,0
"03/26/2022, 11:46:12",https://www.realtor.ca/real-estate/24185505/1741-west-sable-road-louis-head-louis-head,790000,1741 West Sable Road,"Louis Head, Nova Scotia B0T1V0",B0T1V0,MLS  Number: 202205138,2,2,2,Single Family,House,2,Louis Head,Freehold,10 - 49 acres,,"Garage, Detached Garage, Gravel",1 day,"Oct 20, 2014 Sold $165,000",1780,"Range, Dishwasher, Dryer, Washer, Freezer - Stand Up, Refrigerator",Stone,Detached,,Crawl space,B0T1,B0T,0.21623611
"03/26/2022, 11:46:47",https://www.realtor.ca/real-estate/24184509/24-hollyoake-lane-dartmouth-dartmouth,450000,24 Hollyoake Lane,"Dartmouth, Nova Scotia B2V1L7",B2V1L7,MLS  Number: 202205127,4,4,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1976,"Garage, Attached Garage",1 day,,1982,,Poured Concrete,Detached,,,B2V1,B2V,0
"03/26/2022, 11:49:38",https://www.realtor.ca/real-estate/24184510/17-azita-court-bedford-bedford,499900,17 Azita Court,"Bedford, Nova Scotia B4A3Y6",B4A3Y6,MLS  Number: 202205131,3,3,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1996,"Garage, Attached Garage",1 day,,1902,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,3 Level,,B4A3,B4A,0
"03/26/2022, 11:51:28",https://www.realtor.ca/real-estate/24185170/235-mallard-drive-hubley-hubley,499900,235 Mallard Drive,"Hubley, Nova Scotia B3Z4L4",B3Z4L4,MLS  Number: 202205133,3,3,2,Single Family,House,1,Hubley,Freehold,under 1/2 acre,1980,Gravel,1 day,"May 3, 2021 Sold $420,000",1795,,Poured Concrete,Detached,Character,,B3Z4,B3Z,0.190238095
"03/26/2022, 11:52:36",https://www.realtor.ca/real-estate/24185171/680-new-ross-road-leminster-leminster,798000,680 New Ross Road,"Leminster, Nova Scotia B0N2T0",B0N2T0,MLS  Number: 202205134,3,3,2,Single Family,House,2,Leminster,Freehold,50 - 100 acres,1922,Gravel,1 day,,1400,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator","Poured Concrete, Stone",Detached,,Crawl space,B0N2,B0N,0
"03/26/2022, 11:53:16",https://www.realtor.ca/real-estate/24184277/44-laurel-street-kingston-kingston,599000,44 Laurel Street,"Kingston, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202205121,4,5,6,Single Family,House,2,Kingston,Freehold,under 1/2 acre,2007,"Garage, Detached Garage",1 day,"Feb 5, 2019 Sold $435,000",4064,"Central Vacuum, Cooktop - Propane, Dishwasher, Dryer, Washer, Freezer - Stand Up",Poured Concrete,Detached,,Full (Finished),B0P1,B0P,0.112532026
"03/26/2022, 11:53:49",https://www.realtor.ca/real-estate/24184390/30-crescent-drive-truro-truro,320000,30 Crescent Drive,"Truro, Nova Scotia B2N1N6",B2N1N6,MLS  Number: 202205124,3,3,2,Single Family,House,2,Truro,Freehold,under 1/2 acre,1955,,1 day,"Jul 21, 2011 Sold $139,000",1704,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B2N1,B2N,0.078751419
"03/26/2022, 11:54:18",https://www.realtor.ca/real-estate/24184276/170-ochterloney-street-dartmouth-dartmouth,749000,170 Ochterloney Street,"Dartmouth, Nova Scotia B2Y1E1",B2Y1E1,MLS  Number: 202205120,5,5,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,,Parking Space(s),1 day,,1500,"Stove, Microwave, Refrigerator",Poured Concrete,Detached,,,B2Y1,B2Y,0
"03/26/2022, 11:56:50",https://www.realtor.ca/real-estate/24184281/270-granite-cove-drive-hubley-hubley,519000,270 Granite Cove Drive,"Hubley, Nova Scotia B3Z4N8",B3Z4N8,MLS  Number: 202205122,3,3,4,Single Family,House,2,Hubley,Freehold,1/2 - 1 acre,2008,"Garage, Detached Garage, Gravel",1 day,"Jul 26, 2011 Sold $300,000",2618,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,,B3Z4,B3Z,0.051091575
"03/26/2022, 11:58:22",https://www.realtor.ca/real-estate/24184274/1299-king-street-bridgewater-bridgewater,199900,1299 King Street,"Bridgewater, Nova Scotia B4V1C3",B4V1C3,MLS  Number: 202205119,3,3,2,Single Family,House,2,Bridgewater,Freehold,under 1/2 acre,,,1 day,,1186,"Range, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B4V1,B4V,0
"03/26/2022, 12:29:55",https://www.realtor.ca/real-estate/24184142/18-maple-estates-drive-abercrombie-abercrombie,839900,325 Marketway Lane,"Timberlea, Nova Scotia B3T0K9",B3T0K9,MLS  Number: 202205109,3,3,4,Single Family,House,2,Timberlea,Freehold,under 1/2 acre,,"Garage, Attached Garage",1 day,,2319,None,Poured Concrete,Detached,,,B3T0,B3T,0
"03/26/2022, 12:32:28",https://www.realtor.ca/real-estate/24184140/151-balsam-circle-lower-sackville-lower-sackville,369900,151 Balsam Circle,"Lower Sackville, Nova Scotia B4C1B2",B4C1B2,MLS  Number: 202205111,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1973,,1 day,"Jan 4, 2017 Sold $175,000",2050,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),B4C1,B4C,0.161473369
"03/26/2022, 12:33:22",https://www.realtor.ca/real-estate/24184141/29-larkview-terrace-west-bedford-west-bedford,779000,29 Larkview Terrace,"West Bedford, Nova Scotia B4B1G9",B4B1G9,MLS  Number: 202205112,3,4,4,Single Family,House,2,West Bedford,Freehold,under 1/2 acre,2015,"Garage, Attached Garage",1 day,"Oct 1, 2015 Sold $394,900",2892,"Range, Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4B1,B4B,0.101919951
"03/26/2022, 12:33:59",https://www.realtor.ca/real-estate/24184143/210-azure-court-indigo-shores-middle-sackville-middle-sackville,1285900,210 Azure Court,"Middle Sackville, Nova Scotia B0N1Z0",B0N1Z0,MLS  Number: 202205118,4,5,4,Single Family,House,2,Middle Sackville,Freehold,1 - 3 acres,,"Garage, Attached Garage, Gravel",1 day,,3879,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge",Poured Concrete,Detached,,,B0N1,B0N,0
"03/26/2022, 12:38:35",https://www.realtor.ca/real-estate/24183479/49-equine-court-hammonds-plains-hammonds-plains,749000,49 Equine Court,"Hammonds Plains, Nova Scotia B4B2B1",B4B2B1,MLS  Number: 202205094,4,4,4,Single Family,House,2,Hammonds Plains,Freehold,1 - 3 acres,2006,"Garage, Attached Garage",1 day,,3845,,Poured Concrete,Detached,,,B4B2,B4B,0
"03/26/2022, 12:43:32",https://www.realtor.ca/real-estate/24183481/41-braemount-drive-clayton-park-clayton-park,300000,41 Braemount Drive,"Clayton Park, Nova Scotia B3M3P3",B3M3P3,MLS  Number: 202205098,3,3,3,Single Family,Row / Townhouse,2,Clayton Park,Condominium/Strata,under 1/2 acre,1979,,1 day,"Apr 27, 2018 Sold $208,000",1798,,Poured Concrete,,2 Level,,B3M3,B3M,0.095883732
"03/26/2022, 12:44:05",https://www.realtor.ca/real-estate/24183482/224-partridge-lane-mount-uniacke-mount-uniacke,1200000,224 Partridge Lane,"Mount Uniacke, Nova Scotia B0N1Z0",B0N1Z0,MLS  Number: 202205099,1,3,3,Single Family,House,1,Mount Uniacke,Freehold,1 - 3 acres,2011,"Garage, Attached Garage, Gravel",1 day,,3314,"Gas stove(s), Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B0N1,B0N,0
"03/26/2022, 12:44:40",https://www.realtor.ca/real-estate/24183686/20-parmbelle-lane-halifax-halifax,475000,20 Parmbelle Lane,"Halifax, Nova Scotia B3M1N3",B3M1N3,MLS  Number: 202205106,3,5,4,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1975,"Garage, Attached Garage",1 day,,2826,,Poured Concrete,Detached,,,B3M1,B3M,0
"03/26/2022, 12:45:14",https://www.realtor.ca/real-estate/24183478/954-parkview-drive-centreville-centreville,350000,954 Parkview Drive,"Centreville, Nova Scotia B0P1J0",B0P1J0,MLS  Number: 202205093,2,4,2,Single Family,House,1,Centreville,Freehold,under 1/2 acre,1988,Gravel,1 day,,2106,,Poured Concrete,Detached,,Full (Finished),B0P1,B0P,0
"03/26/2022, 12:46:12",https://www.realtor.ca/real-estate/24183480/404-5839-cunard-street-halifax-halifax,729900,404 5839 Cunard Street,"Halifax, Nova Scotia B3K0B9",B3K0B9,MLS  Number: 202205097,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2007,"Garage, Underground",1 day,,1281,,Poured Concrete,,,None,B3K0,B3K,0
"03/26/2022, 12:47:23",https://www.realtor.ca/real-estate/24183685/10247-st-margarets-bay-road-hubbards-hubbards,699900,10247 St Margarets Bay Road,"Hubbards, Nova Scotia B0J1T0",B0J1T0,MLS  Number: 202205105,4,4,3,Single Family,House,3,Hubbards,Freehold,1 - 3 acres,2020,Gravel,1 day,"Jun 21, 2018 Sold $74,900",2717,"Cooktop - Propane, Oven - Electric, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,,B0J1,B0J,0.748390926
"03/26/2022, 12:47:56",https://www.realtor.ca/real-estate/24183298/36-gow-drive-bridgewater-bridgewater,699000,36 Gow Drive,"Bridgewater, Nova Scotia B4V9B8",B4V9B8,MLS  Number: 202205086,3,3,2,Single Family,House,2,Bridgewater,Freehold,under 1/2 acre,,"Garage, Attached Garage, Parking Space(s)",1 day,,2820,"Cooktop - Propane, Oven - Electric, Dishwasher, Refrigerator, Gas stove(s)","Poured Concrete, Concrete Slab",Detached,,None,B4V9,B4V,0
"03/26/2022, 12:48:29",https://www.realtor.ca/real-estate/24182784/1821-vernon-street-halifax-halifax,1195000,1821 Vernon Street,"Halifax, Nova Scotia B3H3N6",B3H3N6,MLS  Number: 202205080,5,5,3,Single Family,House,3,Halifax,Freehold,under 1/2 acre,1918,,1 day,,2682,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,3 Level,Full,B3H3,B3H,0
"03/26/2022, 12:48:56",https://www.realtor.ca/real-estate/24183299/17-vicky-crescent-eastern-passage-eastern-passage,365000,17 Vicky Crescent,"Eastern Passage, Nova Scotia B3G1T1",B3G1T1,MLS  Number: 202205087,0,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,,,1 day,"Oct 15, 2010 Sold $190,900",1458,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,,B3G1,B3G,0.055497587
"03/26/2022, 12:49:25",https://www.realtor.ca/real-estate/24183297/2115-angell-street-westville-westville,499000,2115 Angell Street,"Westville, Nova Scotia B0K2A0",B0K2A0,MLS  Number: 202205083,3,3,3,Single Family,House,2,Westville,Freehold,1/2 - 1 acre,2011,"Garage, Detached Garage",1 day,"May 6, 2016 Sold $295,000",1630,"Range, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge",Poured Concrete,Detached,,,B0K2,B0K,0.091557006
"03/26/2022, 12:49:55",https://www.realtor.ca/real-estate/24182533/215-oleary-drive-beaver-bank-beaver-bank,699900,215 Oleary Drive,"Beaver Bank, Nova Scotia B4E3L5",B4E3L5,MLS  Number: 202205071,3,3,3,Single Family,House,2,Beaver Bank,Freehold,1 - 3 acres,2004,"Garage, Attached Garage",2 days,,1856,"Range, Stove, Dishwasher, Dryer, Washer, Microwave, Central Vacuum",Poured Concrete,Detached,Cape Cod,Full (Partially finished),B4E3,B4E,0
"03/26/2022, 12:50:34",https://www.realtor.ca/real-estate/24182535/36-heddas-way-fall-river-fall-river,800000,36 Heddas Way,"Fall River, Nova Scotia B2T0J3",B2T0J3,MLS  Number: 202205075,3,4,4,Single Family,House,2,Fall River,Freehold,1 - 3 acres,2010,"Garage, Attached Garage, Detached Garage",2 days,"Sep 16, 2011 Sold $447,800",3278,Central Vacuum,Poured Concrete,Detached,,Full (Finished),B2T0,B2T,0.05416751
"03/26/2022, 12:50:59",https://www.realtor.ca/real-estate/24182536/51-tamarack-drive-fall-river-fall-river,700000,51 Tamarack Drive,"Fall River, Nova Scotia B2T1E8",B2T1E8,MLS  Number: 202205076,3,4,3,Single Family,House,1,Fall River,Freehold,1 - 3 acres,1999,"Garage, Gravel",2 days,,3653,,Poured Concrete,Detached,Character,Full (Finished),B2T1,B2T,0
"03/26/2022, 12:51:28",https://www.realtor.ca/real-estate/24182603/12-ingram-drive-fall-river-fall-river,475000,12 Ingram Drive,"Fall River, Nova Scotia B2T1E7",B2T1E7,MLS  Number: 202205078,3,4,1,Single Family,House,1,Fall River,Freehold,under 1/2 acre,1979,"Garage, Detached Garage",1 day,,2038,,Poured Concrete,Detached,Chalet,Full (Finished),B2T1,B2T,0
"03/26/2022, 12:52:03",https://www.realtor.ca/real-estate/24182534/403-1990-vernon-street-halifax-halifax,849900,403 1990 Vernon Street,"Halifax, Nova Scotia B3H0B8",B3H0B8,MLS  Number: 202205074,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2018,"Garage, Underground, Other",2 days,,1425,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,Unknown,B3H0,B3H,0
"03/26/2022, 12:52:31",https://www.realtor.ca/real-estate/24182127/41-walton-drive-halifax-halifax,619000,41 Walton Drive,"Halifax, Nova Scotia B3N1X6",B3N1X6,MLS  Number: 202205052,2,2,1,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1953,Garage,2 days,"Jun 28, 2018 Sold $459,900",1592,"Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,,B3N1,B3N,0.077101944
"03/26/2022, 12:52:59",https://www.realtor.ca/real-estate/24182303/55-mica-crescent-halifax-halifax,549900,55 Mica Crescent,"Halifax, Nova Scotia B3P0G7",B3P0G7,MLS  Number: 202205061,3,3,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2018,"Garage, Attached Garage",2 days,,1905,"Barbeque, Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished),B3P0,B3P,0
"03/26/2022, 12:53:26",https://www.realtor.ca/real-estate/24182306/33-fiddlers-green-cole-harbour-cole-harbour,425000,33 Fiddlers Green,"Cole Harbour, Nova Scotia B2V1Y9",B2V1Y9,MLS  Number: 202205063,3,4,3,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,1983,"Garage, Attached Garage",2 days,"Jan 1, 1900 Sold $380,000",2289,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2V1,B2V,0.000917781
"03/26/2022, 12:54:34",https://www.realtor.ca/real-estate/24182305/271-green-street-lunenburg-lunenburg,439000,271 Green Street,"Lunenburg, Nova Scotia B0J2C0",B0J2C0,MLS  Number: 202205062,3,3,1,Single Family,House,2,Lunenburg,Freehold,1/2 - 1 acre,1855,Gravel,2 days,"Jun 29, 2011 Sold $165,000",1371,"Barbeque, Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Stone,Detached,,Full (Unfinished),B0J2,B0J,0.093036332
"03/26/2022, 12:55:04",https://www.realtor.ca/real-estate/24182126/76-harvest-lane-upper-tantallon-upper-tantallon,799900,76 Harvest Lane,"Upper Tantallon, Nova Scotia B3Z1L3",B3Z1L3,MLS  Number: 202205051,3,4,4,Single Family,House,2,Upper Tantallon,Freehold,1/2 - 1 acre,2014,"Garage, Attached Garage",2 days,,3500,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3Z1,B3Z,0
"03/26/2022, 12:55:36",https://www.realtor.ca/real-estate/24182128/27-pond-drive-nictaux-nictaux,525000,27 Pond Drive,"Nictaux, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202205055,4,4,3,Single Family,House,2,Nictaux,Freehold,1/2 - 1 acre,1974,"Garage, Detached Garage",2 days,"Aug 15, 2016 Sold $297,000",2448,,Poured Concrete,Detached,,Full (Partially finished),B0S1,B0S,0.099597665
"03/26/2022, 12:56:03",https://www.realtor.ca/real-estate/24182301/17-jullin-court-kingswood-hammonds-plains-hammonds-plains,489900,17 Jullin Court,"Hammonds Plains, Nova Scotia B4B1M2",B4B1M2,MLS  Number: 202205056,3,3,3,Single Family,House,2,Hammonds Plains,Freehold,1 - 3 acres,1996,"Garage, Gravel",2 days,"Mar 12, 2018 Sold $293,750",1728,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4B1,B4B,0.136403051
"03/26/2022, 12:56:32",https://www.realtor.ca/real-estate/24182302/3-heather-street-middle-sackville-middle-sackville,169000,3 Heather Street,"Middle Sackville, Nova Scotia B4C1C9",B4C1C9,MLS  Number: 202205060,3,3,1,Single Family,Mobile Home,1,Middle Sackville,Leasehold,under 1/2 acre,2006,,2 days,,896,"Stove, Dryer, Washer, Refrigerator",,,Mini,None,B4C1,B4C,0
"03/26/2022, 12:56:57",https://www.realtor.ca/real-estate/24181884/161-eaglewood-drive-bedford-bedford,749900,161 Eaglewood Drive,"Bedford, Nova Scotia B4A3B6",B4A3B6,MLS  Number: 202205035,4,4,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1984,"Garage, Attached Garage",2 days,,2741,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,,B4A3,B4A,0
"03/26/2022, 12:57:23",https://www.realtor.ca/real-estate/24181885/27-covington-place-bible-hill-bible-hill,349900,27 Covington Place,"Bible Hill, Nova Scotia B2N0J9",B2N0J9,MLS  Number: 202205038,2,2,2,Single Family,Row / Townhouse,1,Bible Hill,Freehold,under 1/2 acre,2019,Garage,2 days,,1050,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator","Poured Concrete, Concrete Slab",,Character,None,B2N0,B2N,0
"03/26/2022, 12:58:19",https://www.realtor.ca/real-estate/24181973/81-rivercrest-lane-greenwood-greenwood,374900,81 Rivercrest Lane,"Greenwood, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202205040,3,5,2,Single Family,House,1,Greenwood,Freehold,under 1/2 acre,2003,"Garage, Attached Garage",2 days,"Aug 18, 2017 Sold $245,000 (CAD)",2362,"Dishwasher, Central Vacuum",Poured Concrete,Detached,,Full (Finished),B0P1,B0P,0.08880441
"03/26/2022, 12:58:46",https://www.realtor.ca/real-estate/24181976/168-kernwood-drive-middle-sackville-middle-sackville,799000,168 Kernwood Drive,"Middle Sackville, Nova Scotia B4E0G6",B4E0G6,MLS  Number: 202205045,4,4,4,Single Family,House,2,Middle Sackville,Freehold,1 - 3 acres,2016,"Garage, Attached Garage, Detached Garage, Gravel",2 days,,3494,"Stove, Dishwasher, Dryer, Washer/Dryer Combo, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full,B4E0,B4E,0
"03/26/2022, 12:59:12",https://www.realtor.ca/real-estate/24181978/69-mica-crescent-halifax-halifax,499900,69 Mica Crescent,"Halifax, Nova Scotia B3P0H7",B3P0H7,MLS  Number: 202205048,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2019,,2 days,,1957,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),B3P0,B3P,0
"03/25/2022, 18:59:20",https://www.realtor.ca/real-estate/24181886/105-slayter-street-dartmouth-dartmouth,439000,105 Slayter Street,"Dartmouth, Nova Scotia B3A2B3",B3A2B3,MLS  Number: 202205039,3,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1959,"Garage, Detached Garage",1 day,"Mar 25, 2010 Sold $177,500",1582,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),B3A2,B3A,0.078380883
"03/25/2022, 19:00:39",https://www.realtor.ca/real-estate/24181975/107-79-bedros-lane-halifax-halifax,499000,107 79 Bedros Lane,"Halifax, Nova Scotia B3M4X5",B3M4X5,MLS  Number: 202205044,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,,2003,"Garage, Underground, Parking Space(s)",1 day,,1550,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,None,B3M4,B3M,0
"03/25/2022, 19:01:31",https://www.realtor.ca/real-estate/24181361/322-5662-roberts-street-halifax-peninsula-halifax-peninsula,479900,322 5662 Roberts Street,"Halifax Peninsula, Nova Scotia B3K0E3",B3K0E3,MLS  Number: 202205016,2,2,2,Single Family,Apartment,2,Halifax Peninsula,Condominium/Strata,,2016,"Garage, Underground, Parking Space(s)",1 day,,953,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Intercom",,,,None,B3K0,B3K,0
"03/25/2022, 19:07:30",https://www.realtor.ca/real-estate/24181703/601-1-prince-street-dartmouth-dartmouth,399900,601 1 Prince Street,"Dartmouth, Nova Scotia B2Y4L3",B2Y4L3,MLS  Number: 202205018,1,1,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,1986,"Garage, Underground",1 day,"Aug 1, 2012 Sold $270,000",911,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Unknown,B2Y4,B2Y,0.040060886
"03/25/2022, 19:07:58",https://www.realtor.ca/real-estate/24181770/70-maplewood-drive-cole-harbour-cole-harbour,1060000,70 Maplewood Drive,"Cole Harbour, Nova Scotia B2V2R1",B2V2R1,MLS  Number: 202126960,3,3,4,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,1993,"Garage, Attached Garage",1 day,,3859,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2V2,B2V,0
"03/25/2022, 19:10:02",https://www.realtor.ca/real-estate/24181771/510-60-walter-havill-drive-halifax-halifax,349900,510 60 Walter Havill Drive,"Halifax, Nova Scotia B3N0A9",B3N0A9,MLS  Number: 202205020,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,Unknown,2010,"Garage, Underground",1 day,,1224,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,,None,,B3N0,B3N,0
"03/25/2022, 19:10:52",https://www.realtor.ca/real-estate/24181775/119-milsom-street-halifax-halifax,958000,119 Milsom Street,"Halifax, Nova Scotia B3N3M3",B3N3M3,MLS  Number: 202205026,4,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2009,Garage,1 day,"Mar 27, 2019 Sold $672,000",4080,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,,B3N3,B3N,0.12546522
"03/25/2022, 19:11:26",https://www.realtor.ca/real-estate/24181776/59b-chadwick-street-dartmouth-dartmouth,224900,59B Chadwick Street,"Dartmouth, Nova Scotia B2Y2M2",B2Y2M2,MLS  Number: 202205027,2,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1962,Gravel,1 day,"Aug 15, 2017 Sold $120,000",664,"Stove, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space,B2Y2,B2Y,0.133865763
"03/25/2022, 19:11:56",https://www.realtor.ca/real-estate/24181779/130-joffre-street-dartmouth-dartmouth,349900,130 Joffre Street,"Dartmouth, Nova Scotia B2Y3E1",B2Y3E1,MLS  Number: 202205031,3,3,1,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1957,,1 day,,1313,,Poured Concrete,Detached,,Full (Unfinished),B2Y3,B2Y,0
"03/25/2022, 19:12:55",https://www.realtor.ca/real-estate/24181780/4106-st-margarets-bay-road-hubley-hubley,689000,4106 St. Margarets Bay Road,"Hubley, Nova Scotia B3Z1C2",B3Z1C2,MLS  Number: 202205032,3,3,2,Single Family,House,1,Hubley,Freehold,1/2 - 1 acre,2015,"Garage, Attached Garage, Detached Garage",1 day,"Dec 2, 2013 Sold $38,000",1992,,Concrete Slab,Detached,Character,None,B3Z1,B3Z,0.379831898
"03/25/2022, 19:14:57",https://www.realtor.ca/real-estate/24181702/491-lakeview-avenue-middle-sackville-middle-sackville,399900,491 Lakeview Avenue,"Middle Sackville, Nova Scotia B4E3B8",B4E3B8,MLS  Number: 202205017,3,5,3,Single Family,House,1,Middle Sackville,Freehold,under 1/2 acre,1996,"Garage, Attached Garage, Gravel",1 day,"May 31, 2013 Sold $243,500",2250,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,Character,,B4E3,B4E,0.05666947
"03/25/2022, 19:15:34",https://www.realtor.ca/real-estate/24181772/175177-third-avenue-lakeview-lakeview,1200000,175/177 Third Avenue,"Lakeview, Nova Scotia B4C4C9",B4C4C9,MLS  Number: 202205022,6,6,4,Single Family,House,2,Lakeview,Freehold,1 - 3 acres,1983,"Garage, Detached Garage, Gravel",1 day,,4065,Central Vacuum,Poured Concrete,Detached,,,B4C4,B4C,0
"03/25/2022, 19:15:58",https://www.realtor.ca/real-estate/24181773/17-cockburn-court-lower-sackville-lower-sackville,259900,17 Cockburn Court,"Lower Sackville, Nova Scotia B4C1K4",B4C1K4,MLS  Number: 202205023,3,3,1,Single Family,House,2,Lower Sackville,Freehold,under 1/2 acre,1972,,1 day,,1403,,Poured Concrete,Detached,,,B4C1,B4C,0
